,ParentCountry,ChildCountry,Variant,cantidad_de_movimientos
266,UNITED STATES OF AMERICA,OTHER EUROPE,Omicron DJ.1,4
161,PERU,COLOMBIA,Gamma P.1.12,4
67,COLOMBIA,SPAIN,Lambda C.37,4
208,PERU,SPAIN,Omicron DJ.1,4
3,ARGENTINA,GERMANY,Lambda C.37,3
56,CHILE,UNITED STATES OF AMERICA,Gamma P.1.12,3
39,CHILE,COLOMBIA,Lambda C.37,3
52,CHILE,PANAMA,Lambda C.37,3
51,CHILE,OTHER SOUTH AMERICA,Lambda C.37,3
247,UNITED STATES OF AMERICA,CHILE,Omicron DJ.1,3
229,SPAIN,UNITED STATES OF AMERICA,Lambda C.37,3
264,UNITED STATES OF AMERICA,OTHER EUROPE,Gamma P.1.12,3
251,UNITED STATES OF AMERICA,COLOMBIA,Omicron DJ.1,3
194,PERU,OTHER NORTH AMERICA,Gamma P.1.12,3
78,DENMARK,SWEDEN,Omicron DJ.1,3
221,SPAIN,ECUADOR,Lambda C.37,3
172,PERU,FRANCE,Lambda C.37,3
25,BRAZIL,PERU,Omicron DJ.1,3
220,SPAIN,CHILE,Lambda C.37,3
265,UNITED STATES OF AMERICA,OTHER EUROPE,Lambda C.37,3
268,UNITED STATES OF AMERICA,OTHER NORTH AMERICA,Omicron DJ.1,3
152,PERU,BRAZIL,Omicron DJ.1,3
144,PANAMA,UNITED STATES OF AMERICA,Lambda C.37,3
164,PERU,COSTA RICA,Lambda C.37,3
132,OTHER EUROPE,UNITED STATES OF AMERICA,Gamma P.1.12,3
148,PERU,BELGIUM,Omicron DJ.1,3
255,UNITED STATES OF AMERICA,ECUADOR,Omicron XBB.2.6,3
30,CANADA,PERU,Lambda C.37,3
196,PERU,OTHER NORTH AMERICA,Omicron DJ.1,3
276,UNITED STATES OF AMERICA,PUERTO RICO,Lambda C.37,3
163,PERU,COLOMBIA,Omicron DJ.1,3
237,SWITZERLAND,FRANCE,Lambda C.37,2
242,UNITED STATES OF AMERICA,CANADA,Lambda C.37,2
41,CHILE,ECUADOR,Lambda C.37,2
4,ARGENTINA,MEXICO,Lambda C.37,2
48,CHILE,OTHER EUROPE,Lambda C.37,2
231,SWEDEN,CANADA,Omicron DJ.1,2
58,CHILE,UNITED STATES OF AMERICA,Omicron DJ.1,2
35,CANARY ISLANDS,UNITED STATES OF AMERICA,Lambda C.37,2
66,COLOMBIA,PUERTO RICO,Lambda C.37,2
71,COSTA RICA,OTHER NORTH AMERICA,Lambda C.37,2
73,COSTA RICA,UNITED STATES OF AMERICA,Lambda C.37,2
210,PERU,SWEDEN,Omicron DJ.1,2
191,PERU,OTHER EUROPE,Lambda C.37,2
115,MEXICO,OTHER EUROPE,Lambda C.37,2
199,PERU,OTHER OCEANIA,Omicron DJ.1,2
123,OTHER EUROPE,BELGIUM,Omicron DJ.1,2
200,PERU,OTHER OCEANIA,Omicron XBB.2.6,2
104,GERMANY,SPAIN,Lambda C.37,2
106,INDIA,UNITED STATES OF AMERICA,Omicron XBB.2.6,2
79,DENMARK,UNITED STATES OF AMERICA,Omicron DJ.1,2
103,GERMANY,PERU,Omicron DJ.1,2
211,PERU,SWITZERLAND,Lambda C.37,2
61,COLOMBIA,CHILE,Lambda C.37,2
64,COLOMBIA,PANAMA,Lambda C.37,2
27,BRAZIL,UNITED STATES OF AMERICA,Omicron DJ.1,2
