ParentRegion,ChildRegion,cantidad_de_movimientos
Callao,Ucayali,35
Moquegua,La Libertad,34
Lambayeque,Tacna,34
Ucayali,Lambayeque,34
Tumbes,Lambayeque,34
Lambayeque,Tumbes,34
Amazonas,Ancash,33
Callao,Tumbes,33
Junin,Huancavelica,33
Junin,San Martin,32
Huanuco,La Libertad,32
Amazonas,La Libertad,32
San Martin,Ancash,32
Piura,La Libertad,32
Puno,Cusco,32
Piura,Loreto,31
Cusco,San Martin,31
Moquegua,Callao,31
Piura,Huanuco,31
Moquegua,Cusco,31
La Libertad,Junin,31
Piura,Moquegua,30
Moquegua,Cajamarca,30
Ayacucho,Cajamarca,30
Puno,Tacna,30
La Libertad,Ica,30
Ucayali,Tacna,30
Ancash,Moquegua,30
La Libertad,Tumbes,30
Tacna,Madre De Dios,30
Tumbes,Callao,30
Tacna,La Libertad,30
Junin,Moquegua,30
Ica,Ucayali,30
Madre De Dios,Arequipa,30
Junin,Puno,29
Callao,Amazonas,29
Callao,Ayacucho,29
Tacna,Apurimac,29
Ucayali,Cajamarca,29
La Libertad,Tacna,28
Callao,Moquegua,28
Ucayali,La Libertad,28
Huanuco,Arequipa,28
Loreto,Arequipa,28
San Martin,Junin,28
Huancavelica,Ancash,28
Piura,Apurimac,28
San Martin,Ucayali,27
San Martin,La Libertad,27
Ayacucho,Callao,27
Cajamarca,Huanuco,27
Cajamarca,Apurimac,27
Madre De Dios,Callao,27
Ica,La Libertad,27
Cajamarca,Ayacucho,27
San Martin,Arequipa,27
Lambayeque,Cusco,27
Lambayeque,Loreto,27
La Libertad,Moquegua,27
Junin,Lambayeque,27
Lambayeque,Ica,27
La Libertad,Amazonas,27
Ayacucho,Ancash,27
Ica,Ayacucho,26
San Martin,Lambayeque,26
Cajamarca,Moquegua,26
Tumbes,La Libertad,26
Piura,San Martin,26
Pasco,Arequipa,26
Ayacucho,Piura,26
Junin,Tumbes,26
Moquegua,Junin,26
Apurimac,Ayacucho,26
Loreto,Ayacucho,26
Callao,Huanuco,25
Ayacucho,Tacna,25
Ancash,Huancavelica,25
Tumbes,San Martin,25
Ucayali,Pasco,25
Ucayali,Ayacucho,25
Piura,Ayacucho,25
Loreto,La Libertad,25
Loreto,Tumbes,25
Junin,Loreto,25
Tumbes,Arequipa,25
Apurimac,Junin,25
Lambayeque,Junin,25
Tumbes,Amazonas,25
Ancash,Puno,24
Cusco,Huancavelica,24
Ayacucho,Huancavelica,24
Cajamarca,Loreto,24
Madre De Dios,Tacna,24
Ucayali,Amazonas,23
Amazonas,Loreto,23
Arequipa,San Martin,23
Pasco,Lambayeque,23
Apurimac,Ancash,23
La Libertad,Apurimac,23
Ica,Tumbes,23
Huancavelica,Ica,23
Callao,Apurimac,23
Huancavelica,Huanuco,22
Callao,San Martin,22
Moquegua,Huanuco,22
Apurimac,Tacna,22
Huanuco,Lambayeque,22
Lambayeque,San Martin,22
Junin,La Libertad,22
Ica,Apurimac,22
Loreto,Ica,22
Ayacucho,Ucayali,22
Huanuco,Pasco,21
Pasco,Piura,21
Ucayali,Madre De Dios,21
Moquegua,Lambayeque,21
Moquegua,Piura,21
Junin,Apurimac,21
Tacna,Huancavelica,21
Amazonas,Cusco,21
Piura,Puno,20
Pasco,Cusco,20
Madre De Dios,Amazonas,20
Tacna,Lambayeque,20
Ayacucho,La Libertad,20
Loreto,Madre De Dios,20
Amazonas,Pasco,20
Ancash,Apurimac,20
Madre De Dios,Ancash,20
Tumbes,Ica,20
Ica,Amazonas,20
Ica,Lambayeque,20
Apurimac,Moquegua,19
San Martin,Pasco,19
Piura,Madre De Dios,19
Callao,Madre De Dios,19
Ucayali,Apurimac,19
Pasco,Tacna,19
Ayacucho,Ica,19
Madre De Dios,La Libertad,19
Madre De Dios,Junin,19
Lambayeque,Huanuco,19
La Libertad,Ayacucho,19
Huanuco,Amazonas,19
Amazonas,Tumbes,18
San Martin,Cusco,18
Huanuco,Piura,18
Apurimac,Callao,18
Callao,Huancavelica,18
Apurimac,Cajamarca,18
Huancavelica,Callao,18
Amazonas,Arequipa,18
La Libertad,Madre De Dios,18
La Libertad,San Martin,18
Amazonas,Apurimac,18
Huancavelica,Cusco,17
Amazonas,Ica,17
Tacna,San Martin,17
Ancash,Pasco,17
Tumbes,Ayacucho,17
Ica,Madre De Dios,17
Lambayeque,Apurimac,17
La Libertad,Loreto,17
Huanuco,San Martin,17
Huanuco,Tumbes,17
Apurimac,Lambayeque,17
Moquegua,Madre De Dios,17
Cajamarca,Madre De Dios,17
Piura,Huancavelica,17
Madre De Dios,Ucayali,17
Pasco,Ancash,17
Huanuco,Huancavelica,17
Arequipa,Puno,17
Cajamarca,Pasco,17
Apurimac,Ica,16
Pasco,Ucayali,16
Apurimac,Huanuco,16
Ica,Pasco,16
La Libertad,Huanuco,16
Ica,San Martin,16
Ica,Huanuco,16
Lambayeque,Ucayali,16
Junin,Amazonas,16
Tumbes,Apurimac,16
Amazonas,Huanuco,16
Tumbes,Loreto,16
Ayacucho,Tumbes,16
Puno,Arequipa,16
Pasco,Huanuco,16
Ayacucho,Apurimac,16
Moquegua,Ica,16
San Martin,Tumbes,16
Lambayeque,Ayacucho,16
Madre De Dios,Apurimac,16
Moquegua,Ucayali,16
Arequipa,Huancavelica,16
Tacna,Pasco,16
Pasco,La Libertad,16
Madre De Dios,San Martin,15
Arequipa,Pasco,15
Pasco,Callao,15
Ayacucho,Amazonas,15
Apurimac,Tumbes,15
Huancavelica,Tacna,15
Pasco,Huancavelica,15
Puno,Cajamarca,15
San Martin,Ica,15
Loreto,Lambayeque,15
Puno,Junin,15
Pasco,Loreto,15
Piura,Pasco,15
Ucayali,Huancavelica,14
Ancash,Madre De Dios,14
Cusco,Pasco,14
Moquegua,Ayacucho,14
San Martin,Tacna,14
Madre De Dios,Loreto,14
San Martin,Huanuco,14
Huancavelica,Arequipa,14
Huancavelica,Ayacucho,13
Madre De Dios,Moquegua,13
Ancash,San Martin,13
Lambayeque,Madre De Dios,13
San Martin,Apurimac,13
Ayacucho,Lambayeque,13
Ayacucho,Madre De Dios,13
Ayacucho,Pasco,13
Loreto,Huancavelica,12
Madre De Dios,Ayacucho,12
Moquegua,San Martin,12
Pasco,Cajamarca,12
Madre De Dios,Pasco,12
Madre De Dios,Lambayeque,12
La Libertad,Ucayali,12
Ica,Huancavelica,12
Amazonas,Ucayali,12
Ayacucho,Huanuco,12
Puno,Ancash,12
Callao,Pasco,12
Ucayali,Tumbes,11
Apurimac,Piura,11
Pasco,Tumbes,11
Ica,Moquegua,11
Moquegua,Pasco,11
Huancavelica,Ucayali,11
Amazonas,Ayacucho,11
Ucayali,Puno,11
Huancavelica,Piura,11
Puno,Callao,11
Moquegua,Apurimac,11
Madre De Dios,Huanuco,11
Tacna,Amazonas,11
Huanuco,Ayacucho,11
Lambayeque,Huancavelica,10
Moquegua,Puno,10
Madre De Dios,Ica,10
Moquegua,Loreto,10
Ayacucho,Moquegua,10
Huancavelica,Apurimac,10
San Martin,Ayacucho,10
Amazonas,Huancavelica,10
Amazonas,Madre De Dios,9
Amazonas,Moquegua,9
Tumbes,Madre De Dios,9
Puno,Ica,9
La Libertad,Pasco,9
Pasco,Ica,9
Moquegua,Amazonas,9
Apurimac,Loreto,9
Apurimac,La Libertad,9
Madre De Dios,Huancavelica,9
Loreto,Moquegua,9
Loreto,Puno,9
Huanuco,Apurimac,9
Huanuco,Moquegua,9
Apurimac,Amazonas,9
Huancavelica,Loreto,9
Ayacucho,Loreto,9
Cajamarca,Huancavelica,9
San Martin,Huancavelica,9
Callao,Puno,9
Amazonas,Tacna,8
Tumbes,Ucayali,8
Huancavelica,Cajamarca,8
Apurimac,Huancavelica,8
Tumbes,Huanuco,8
Apurimac,Pasco,8
Apurimac,Madre De Dios,8
Pasco,San Martin,8
Moquegua,Tumbes,8
Apurimac,San Martin,7
Huancavelica,La Libertad,7
San Martin,Madre De Dios,7
Huancavelica,Madre De Dios,7
Tumbes,Puno,7
Ucayali,Moquegua,7
Lambayeque,Moquegua,7
Puno,Piura,7
Pasco,Ayacucho,7
Ica,Puno,7
La Libertad,Huancavelica,7
Tumbes,Huancavelica,7
Pasco,Madre De Dios,7
Huanuco,Madre De Dios,6
Puno,Apurimac,6
San Martin,Moquegua,6
Loreto,Pasco,6
Lambayeque,Pasco,6
Tumbes,Pasco,6
Cajamarca,Puno,5
Lambayeque,Puno,5
Puno,San Martin,5
