ChildDate	ChildRegion	ParentRegion	ParentDate
2020.21581649753	Lambayeque	Lima	2020.21581649743
2020.43439649743	Lambayeque	Lima	2020.21581649743
2020.20488649743	Lima	La Libertad	2020.19255649743
2020.22947649743	Lima	La Libertad	2020.19668649743
2020.19668649753	Lima	La Libertad	2020.19668649743
2020.22127649743	Lima	La Libertad	2020.20488649743
2020.20488649753	Lima	La Libertad	2020.20488649743
2020.22947649743	Lima	La Libertad	2020.20031649743
2020.21034649753	Lima	La Libertad	2020.21034649743
2020.19122649763	La Libertad	Ica	2020.19122649753
2020.20488649763	Lima	Ica	2020.20488649753
2020.24313649753	Ica	Lima	2020.23563649753
2020.24586649763	Ica	Lima	2020.24586649753
2020.24859649743	Callao	Lima	2020.19895649743
2020.19941649753	La Libertad	Lima	2020.19941649743
2020.21854649743	Callao	Lima	2020.19941649743
2020.21034649743	Junin	Lima	2020.16137649743
2020.17482649763	Lima	Arequipa	2020.17482649753
2020.17755649763	Lima	Moquegua	2020.17755649753
2020.17755649763	Lima	Moquegua	2020.17755649753
2020.24585649753	Ancash	Apurimac	2020.18256649753
2020.18301649763	Lima	Apurimac	2020.18301649753
2020.18848649763	Cusco	Lima	2020.18848649753
2020.18848649763	Cusco	Lima	2020.18848649753
2020.21306649773	Arequipa	Lambayeque	2020.21306649763
2020.45896649763	Callao	Lambayeque	2020.21306649763
2020.27317649773	Ica	Ancash	2020.27317649763
2020.33874649763	Ica	Ancash	2020.27317649763
2020.28683649763	Ica	La Libertad	2020.27817649763
2020.27863649773	Lima	La Libertad	2020.27863649763
2020.30595649763	Lima	Lambayeque	2020.29844649763
2020.46170649763	Callao	Cajamarca	2020.43906649763
2020.46170649763	Callao	Lima	2020.43929649763
2020.50268649763	Lima	La Libertad	2020.49105649763
2020.50541649763	Lima	La Libertad	2020.49105649763
2020.27590649763	Junin	Lima	2020.27590649753
2020.27864649763	Lima	Apurimac	2020.27864649753
2020.28137649763	Lima	Apurimac	2020.28137649753
2020.33874649753	Lima	Lambayeque	2020.31822649753
2020.32782649763	Lima	Lambayeque	2020.32441649763
2020.50542649763	Lima	Lambayeque	2020.43438649763
2020.43438649773	Lima	Lambayeque	2020.43438649763
2020.38246649763	Lima	Arequipa	2020.33371649763
2020.34694649773	Lima	Lambayeque	2020.33943649773
2020.17755649773	Arequipa	Lima	2020.17755649763
2020.18028649763	Arequipa	Lima	2020.17755649763
2020.21306649763	Arequipa	La Libertad	2020.20897649763
2020.24585649763	Arequipa	Callao	2020.21538649763
2020.23493649773	Arequipa	Callao	2020.21580649773
2020.21580649783	Arequipa	Callao	2020.21580649773
2020.21580649773	Arequipa	Callao	2020.21580649763
2020.19394649773	Lambayeque	Lima	2020.18874649773
2020.19394649783	Lima	Junin	2020.19394649773
2020.19667649783	Lima	La Libertad	2020.19667649773
2020.19940649773	Callao	La Libertad	2020.19667649773
2020.20760649773	Lima	La Libertad	2020.20760649763
2020.20760649773	Lima	La Libertad	2020.20760649763
2021.16708649763	Ancash	Lima	2020.99795649763
2021.26297649763	La Libertad	Lima	2020.99795649763
2021.16709649763	Lima	Ancash	2021.05521649763
2021.09037649763	La Libertad	Lima	2021.08410649763
2021.14791649763	La Libertad	Lima	2021.08410649763
2021.08489649773	Callao	Lima	2020.87128649773
2021.16160649763	Callao	Lima	2021.00544649763
2020.99176649763	Lima	Callao	2020.91492649763
2021.10681649773	Arequipa	Lima	2020.91492649773
2020.18574649793	Ica	Lima	2020.17666649793
2020.19121649803	Lima	Piura	2020.19121649793
2020.19121649803	Lima	Piura	2020.19121649793
2020.18575649793	Huanuco	Lima	2020.18575649783
2020.24859649783	Junin	Lima	2020.20024649783
2020.22672649783	Junin	Arequipa	2020.20122649783
2020.21853649783	Lima	Arequipa	2020.20169649783
2020.20213649793	Lima	Arequipa	2020.20213649783
2020.20486649793	Lima	Arequipa	2020.20486649783
2020.21579649783	Arequipa	Lima	2020.21533649783
2020.33327649793	Callao	Lima	2020.33327649783
2020.49721649783	Callao	Lima	2020.37926649783
2020.37972649793	Lima	La Libertad	2020.37972649783
2020.65567649783	Lima	La Libertad	2020.45802649783
2020.95622649793	Lima	La Libertad	2020.49363649793
2021.02186649793	Callao	Lima	2020.55663649793
2020.91524649793	Cusco	Lima	2020.56005649793
2020.56005649803	Cusco	Lima	2020.56005649793
2020.69393649813	Huancavelica	Lima	2020.69393649803
2020.69393649813	Huancavelica	Lima	2020.69393649803
2021.01638649803	Loreto	Lima	2020.98637649803
2020.99721649803	Huanuco	Lima	2020.99445649803
2021.02734649803	Loreto	Lima	2020.99445649803
2021.01638649803	Callao	Lima	2020.97402649803
2021.24652649803	Callao	Lima	2021.00816649803
2020.45624649783	Callao	Lima	2020.19327649783
2020.20761649803	Junin	Lima	2020.20761649793
2020.21307649793	Junin	Lima	2020.20761649793
2020.24860649793	Junin	Lima	2020.23745649793
2020.24313649793	Junin	Lima	2020.23745649793
2020.40979649803	Junin	Lima	2020.39798649803
2020.40979649793	Junin	Lima	2020.39798649793
2020.48356649813	Junin	Lima	2020.48356649803
2020.48356649813	Junin	Lima	2020.48356649803
2020.21307649803	Lima	Arequipa	2020.21307649793
2020.24313649793	Junin	Arequipa	2020.22813649793
2020.22947649803	Lima	Arequipa	2020.22947649793
2020.27592649803	Ancash	Lima	2020.27592649793
2020.27592649803	Ancash	Lima	2020.27592649793
2020.21853649793	Arequipa	Lima	2020.21329649793
2020.23766649793	Arequipa	Lima	2020.21329649793
2020.94258649803	Lima	Cusco	2020.89855649803
2020.90160649813	Lima	Cusco	2020.90160649803
2020.90160649813	Lima	Cusco	2020.90160649803
2020.95078649803	Lambayeque	Huancavelica	2020.92349649803
2021.09585649813	Lima	Huancavelica	2021.09585649803
2021.09585649813	Lima	Huancavelica	2021.09585649803
2021.03010649803	Lima	Loreto	2021.01229649803
2021.10408649803	La Libertad	Loreto	2021.01229649803
2020.24859649783	Lambayeque	Lima	2020.20077649783
2020.30870649813	Lima	Junin	2020.30870649803
2020.34695649803	Lima	Junin	2020.33192649803
2020.34695649813	Lima	Junin	2020.34695649803
2020.63110649803	Lima	Junin	2020.34695649803
2020.34422649803	Lima	Junin	2020.33672649803
2020.36334649803	Callao	Lima	2020.34832649803
2020.50542649803	Lima	Ancash	2020.46924649803
2020.65569649803	Lima	Ancash	2020.46924649803
2020.94532649793	Lima	Arequipa	2020.89452649793
2020.91253649803	Ancash	Arequipa	2020.91253649793
2021.15887649793	Ancash	Lima	2020.94532649793
2020.99997649813	Callao	Lima	2020.99997649803
2021.00271649803	Cajamarca	Lima	2020.99997649803
2021.62462649793	Tumbes	Lima	2021.56694649793
2021.69312649793	Callao	Lima	2021.68991649793
2021.69312649793	Callao	Lima	2021.68991649793
2021.69313649793	Callao	Lima	2021.68562649793
2021.69312649793	Callao	Lima	2021.69266649793
2021.69312649803	Callao	Lima	2021.69312649793
