ChildCountry	ChildDate	ParentCountry	ParentDate
2021.01914246385	Peru	USA	2021.01092246385
2021.01092246405	Peru	USA	2021.01092246395
2021.05750246405	Peru	USA	2021.05750246395
2021.26573246395	Peru	USA	2021.25468246395
2021.26573246395	Peru	USA	2021.25468246395
2021.30955246395	Other_Europe	USA	2021.22957246395
2021.23010246395	Other_Europe	USA	2021.22957246395
2021.29585246405	USA	Peru	2021.13969246405
2021.13969246405	USA	Peru	2021.13969246395
2021.25476246405	USA	Peru	2021.17251246405
2021.32052246405	USA	Peru	2021.18162246405
2021.32325246405	USA	Peru	2021.18381246405
2021.21640246405	USA	Peru	2021.18585246405
2021.22189246405	USA	Peru	2021.18893246405
2021.23010246405	USA	Peru	2021.19131246405
2021.32599246375	Colombia	USA	2021.26252246375
2021.32599246375	Colombia	USA	2021.26252246375
2021.06024246375	Peru	Mexico	2021.02653246375
2021.20545246375	Peru	Mexico	2021.14110246375
2021.33697246375	Mexico	Peru	2021.26254246375
2021.26847246385	Mexico	Peru	2021.26254246385
2021.33971246385	Mexico	Peru	2021.31467246385
2021.33697246385	Mexico	Peru	2021.31467246385
2021.41641246395	Peru	USA	2021.17398246395
2021.41093246395	Peru	USA	2021.21081246395
2021.38354246395	Peru	USA	2021.22842246395
2021.28216246395	USA	Peru	2021.27705246395
2021.29312246395	USA	Peru	2021.27705246395
2021.28491246395	USA	Peru	2021.27899246395
2021.28765246395	USA	Peru	2021.28742246395
2021.29586246395	USA	Peru	2021.28742246395
2021.21094246395	Brazil	Peru	2021.17476246395
2021.26847246395	Peru	Italy	2021.22864246395
2021.43834246395	Other_Europe	Peru	2021.20267246395
2021.42190246395	Italy	Mexico	2021.39316246395
2021.42190246405	Italy	Peru	2021.42190246395
2021.42190246405	Italy	Peru	2021.42190246395
2021.63011246395	Peru	Brazil	2021.56436246395
2021.57806246405	Peru	Brazil	2021.56436246405
2021.56436246415	Peru	Brazil	2021.56436246405
2021.26299246395	Peru	Brazil	2021.20862246395
2021.26847246395	USA	Chile	2021.21066246395
2021.32328246395	Mexico	Peru	2021.27927246395
2021.38629246395	Mexico	Peru	2021.27927246395
2021.27123246405	Peru	Other_Europe	2021.26436246405
2021.51780246405	Peru	Other_Europe	2021.44816246405
2021.59451246405	Peru	Other_Europe	2021.44816246405
2021.38903246415	Other_South_America	Other_Europe	2021.38903246405
2021.58903246405	Peru	Other_Europe	2021.58693246405
2021.69040246405	Peru	Other_Europe	2021.66809246405
2021.71232246415	Peru	Brazil	2021.71232246405
2021.71232246415	Peru	Brazil	2021.71232246405
2021.48489246395	Brazil	Peru	2021.41464246395
2021.48489246395	Brazil	Peru	2021.41464246395
2021.25749246415	Chile	Peru	2021.25749246405
2021.41365246415	Chile	Peru	2021.41365246405
2021.54790246405	Chile	Peru	2021.41365246405
2021.24381246415	Brazil	Peru	2021.24381246405
2021.60545246405	Brazil	Peru	2021.48467246405
2021.57805246405	Brazil	Peru	2021.48467246405
2021.16161246415	Brazil	Peru	2021.16161246405
2021.34517246405	Brazil	Peru	2021.16161246405
2021.47120246405	Other_Europe	Peru	2021.31143246405
2021.56435246425	Other_Europe	Peru	2021.44849246425
2021.50681246415	Other_South_America	Peru	2021.44849246415
2021.49859246425	Other_Europe	Peru	2021.46015246425
2021.47120246425	Other_Europe	Peru	2021.46015246425
2021.46024246415	Other_Europe	Peru	2021.46024246405
2021.55065246405	Other_Europe	Peru	2021.46024246405
2021.58900246485	Brazil	Peru	2021.40171246485
2021.49310246475	Brazil	Peru	2021.44918246475
2021.54516246475	Brazil	Peru	2021.44918246475
2021.48763246485	Brazil	Peru	2021.44925246485
2021.58352246485	Brazil	Peru	2021.44925246485
2021.54791246465	USA	Other_Europe	2021.38263246465
2021.40544246445	USA	Peru	2021.40544246435
2021.43010246445	USA	Peru	2021.40544246445
2021.42736246445	USA	Peru	2021.40544246445
2021.41367246475	USA	Peru	2021.41367246465
2021.42737246475	USA	Peru	2021.42737246465
2021.43285246475	USA	Peru	2021.43285246465
2021.43558246465	USA	Peru	2021.43501246465
2021.46024246465	USA	Peru	2021.45967246465
2021.46846246465	USA	Peru	2021.45967246465
2021.45750246475	USA	Other_Europe	2021.45750246465
2021.45750246475	USA	Other_Europe	2021.45750246465
2021.52325246465	USA	Peru	2021.48488246465
2021.56982246485	USA	Peru	2021.52388246485
2021.62188246485	USA	Peru	2021.52388246485
2021.54516246495	USA	Peru	2021.52388246495
2021.52599246495	USA	Peru	2021.52599246485
2021.54791246485	USA	Peru	2021.52599246485
2021.58900246465	USA	Peru	2021.57796246465
2021.59175246465	USA	Peru	2021.58291246465
2021.58353246465	USA	Peru	2021.58291246465
2021.55612246505	USA	Peru	2021.53405246505
