ChildDate	ChildCountry	ParentCountry	ParentDate
2021.31240328657	USA	Peru	2021.25553328657
2021.34528328657	Chile	Peru	2021.25657328657
2021.33980328657	Chile	Peru	2021.25761328657
2021.09870328647	USA	Peru	2021.08218328647
2021.26034328707	USA	Peru	2021.17511328707
2021.43020328707	Other_Europe	USA	2021.23020328707
2021.53703328717	USA	Peru	2021.52392328717
2021.45758328707	Mexico	Peru	2021.33807328707
2021.61100328727	Peru	Brazil	2021.45484328727
2021.54523328717	USA	Ecuador	2021.49043328717
2021.67948328737	Other_Asia	Peru	2021.66977328737
2021.54802328657	Chile	Argentina	2021.42603328657
2021.36721328647	Chile	Peru	2021.17740328647
2021.20008328667	Chile	Peru	2021.18856328667
2021.28501328677	Panama	Peru	2021.23201328677
2021.27954328687	Canada	Colombia	2021.25227328687
2021.60282328707	USA	Mexico	2021.49323328707
2021.50967328707	USA	Mexico	2021.47471328707
2021.48227328687	USA	Peru	2021.23239328687
2021.18637328667	Chile	Peru	2021.15768328667
2021.12609328657	Chile	Peru	2021.04744328657
2021.05212328657	USA	Peru	2021.01561328657
2021.42198328667	Peru	USA	2021.10039328667
2021.18909328677	USA	Peru	2021.15420328677
2021.12333328667	Canada	Peru	2021.02365328667
2021.31510328667	Puerto_Rico	USA	2021.25483328667
2021.27948328677	Mexico	USA	2021.19397328677
2021.14249328677	USA	Chile	2021.12879328677
2021.27126328667	USA	Peru	2021.09773328667
2021.13154328667	USA	Peru	2021.09429328667
2021.35618328687	USA	Peru	2021.26322328687
2021.72606328677	Argentina	Chile	2021.57346328677
2021.26577328667	Colombia	Peru	2021.10597328667
2021.19179328667	USA	Peru	2021.17936328667
2021.18083328667	USA	Peru	2021.13596328667
2021.31782328667	Mexico	Peru	2021.19203328667
2021.27672328687	Panama	Peru	2021.25638328687
2021.24384328687	Chile	Peru	2021.20021328687
2021.33424328687	USA	Mexico	2021.32645328687
2021.55616328697	USA	Mexico	2021.45088328697
2021.43287328687	Peru	Mexico	2021.39791328687
2021.65204328697	Chile	Other_South_America	2021.48492328697
2021.57259328707	Germany	Peru	2021.49720328707
2021.41643328717	Chile	Peru	2021.37995328717
2021.48219328717	Italy	Peru	2021.40984328717
2021.45478328727	Colombia	Peru	2021.40464328727
2021.30685328697	Colombia	USA	2021.22192328697
2021.31233328707	Colombia	USA	2021.27641328707
2021.55343328707	USA	Colombia	2021.42081328707
2021.49316328707	Colombia	USA	2021.38999328707
2021.56713328707	Other_South_America	USA	2021.29521328707
2021.53152328707	Colombia	USA	2021.30544328707
2021.39179328717	Ecuador	USA	2021.28768328717
2021.39453328727	Ecuador	USA	2021.28768328727
2021.32877328717	Colombia	USA	2021.31819328717
2021.34247328717	Colombia	USA	2021.30602328717
2021.46028328717	Other_Europe	USA	2021.30706328717
2021.58904328727	USA	Colombia	2021.49948328727
2021.66027328737	USA	Colombia	2021.53076328737
2021.47397328747	Ecuador	Colombia	2021.44383328747
2021.47945328747	USA	Colombia	2021.45744328747
2021.39726328687	Spain	Colombia	2021.30685328687
2021.53150328707	USA	Puerto_Rico	2021.53150328697
2021.60547328707	Puerto_Rico	Colombia	2021.51000328707
2021.36439328687	Spain	Colombia	2021.29719328687
2021.28773328697	Spain	Argentina	2021.25293328697
2021.24114328697	Other_Europe	Argentina	2021.22095328697
2021.50690328687	Other_Europe	Argentina	2021.35538328687
2021.30689328697	Argentina	USA	2021.29045328697
2021.30140328707	USA	Argentina	2021.23017328707
2021.72604328737	Spain	Argentina	2021.51508328737
2021.36443328727	USA	Spain	2021.31682328727
2021.34252328717	Other_Europe	Argentina	2021.29701328717
2021.44389328737	Spain	Argentina	2021.39747328737
2021.54526328737	Chile	Argentina	2021.44967328737
2021.43019328707	Brazil	Argentina	2021.22616328707
2021.49594328747	Argentina	Germany	2021.45758328747
2021.62745328767	Argentina	Spain	2021.61226328767
2021.41647328737	Other_South_America	Argentina	2021.37570328737
2021.50962328737	Chile	Argentina	2021.37570328737
2021.39456328747	Switzerland	France	2021.37264328747
2021.26307328737	Spain	Argentina	2021.14241328737
2021.31513328747	USA	Argentina	2021.29193328747
2021.37264328747	USA	Argentina	2021.14539328747
2021.43566328747	USA	Argentina	2021.14539328747
2021.44661328747	USA	Argentina	2021.36032328747
2021.47127328737	Spain	Argentina	2021.31573328737
2021.46580328737	Other_Europe	Mexico	2021.31785328737
2021.28224328737	Israel	Mexico	2021.26198328737
2021.68224328737	Argentina	Mexico	2021.29890328737
2021.62195328737	USA	Argentina	2021.54106328737
2021.32057328737	USA	Argentina	2021.26304328737
2021.42743328737	Germany	Argentina	2021.37880328737
2021.34523328737	USA	Argentina	2021.32568328737
2021.54523328797	Argentina	Switzerland	2021.33701328797
2021.44113328737	Argentina	USA	2021.43291328737
2021.48771328807	Panama	Argentina	2021.33071328807
2021.62469328747	Saint_Kitts_and_Nevis	USA	2021.61062328747
2021.80825328747	Saint_Kitts_and_Nevis	Sint_Maarten	2021.67948328747
2021.45207328737	USA	Argentina	2021.40340328737
2021.55070328767	Mexico	USA	2021.49578328767
2021.54521328797	Chile	Argentina	2021.48733328797
2021.45754328797	USA	Argentina	2021.41931328797
2021.50411328797	Chile	Argentina	2021.47322328797
2021.65206328817	Spain	Argentina	2021.57391328817
2021.50966328677	Peru	USA	2021.38823328677
2021.56718328657	Panama	Peru	2021.50417328657
2021.61376328657	Other_Europe	Peru	2021.53150328657
2021.16991328677	Other_Europe	Argentina	2021.16991328667
2021.38909328677	USA	Argentina	2021.20043328677
2021.26854328667	USA	Argentina	2021.21136328667
2021.39457328677	USA	Argentina	2021.27572328677
2021.38360328667	Mexico	Argentina	2021.36491328667
2021.25757328677	Argentina	USA	2021.24387328677
2021.05211328657	Chile	Peru	2020.97560328657
2021.62197328667	Chile	Other_Europe	2021.60827328667
2021.62197328677	Chile	Other_Europe	2021.60827328677
2021.52881328667	Chile	Peru	2021.20341328667
2021.36169328697	Peru	Ecuador	2021.33914328697
2021.40279328697	Italy	Ecuador	2021.38105328697
2021.23018328697	Panama	Peru	2021.15385328697
2021.37811328717	Mexico	Peru	2021.34777328717
2021.27400328727	Spain	Peru	2021.25853328727
2021.23291328737	Chile	Peru	2021.21956328737
2021.27674328767	Mexico	Peru	2021.21406328767
2021.37811328777	Other_South_America	Peru	2021.21406328777
2021.27673328777	Puerto_Rico	USA	2021.23393328777
2021.28496328787	Colombia	USA	2021.25378328787
2021.25756328777	Peru	USA	2021.19455328777
2021.35619328817	Ecuador	Peru	2021.24510328817
2021.42194328837	Ecuador	Peru	2021.28321328837
2021.43288328837	Ecuador	Peru	2021.38737328837
2021.60822328847	Chile	Peru	2021.45660328847
2021.46850328837	USA	Peru	2021.45206328837
2021.06854328677	Chile	Peru	2021.03723328677
2021.20278328677	Chile	Peru	2021.17872328677
2021.28224328697	USA	Peru	2021.04181328697
2021.50963328677	Costa_Rica	Peru	2021.41648328677
2021.15621328677	USA	Peru	2021.12581328677
2021.25210328677	USA	Peru	2021.23693328677
2021.32059328677	USA	Canary_Islands	2021.31955328677
2021.35621328677	USA	Spain	2021.33977328677
2021.33429328687	USA	Peru	2021.07945328687
2021.42197328707	Peru	USA	2021.24937328707
2021.39458328717	USA	Panama	2021.31872328717
2021.49321328717	Other_North_America	Costa_Rica	2021.45085328717
2021.54527328717	USA	Costa_Rica	2021.53087328717
2021.12882328697	USA	Peru	2021.12134328697
2021.66855328747	USA	Peru	2021.53978328747
2021.31238328747	USA	Peru	2021.21971328747
2021.21922328747	Chile	Peru	2021.11747328747
2021.55895328757	Peru	Chile	2021.44222328757
2021.28772328757	Chile	Peru	2021.20078328757
2021.59184328767	Peru	USA	2021.52538328767
2021.37537328807	Chile	Peru	2021.31078328807
2021.29593328797	USA	Peru	2021.26815328797
2021.24388328787	USA	Argentina	2021.23840328787
2021.29319328777	Chile	Peru	2021.11151328777
2021.35344328837	France	Peru	2021.30479328837
2021.31782328837	USA	Peru	2021.26539328837
2021.24661328677	Chile	Peru	2021.21437328677
2021.39455328677	Chile	Peru	2021.17899328677
2021.35072328717	Chile	Peru	2021.30037328717
2021.09320328677	Chile	Peru	2021.05122328677
2021.49867328677	Ecuador	Peru	2021.10415328677
2021.15619328677	USA	Peru	2021.10584328677
2021.36441328677	Chile	USA	2021.17076328677
2021.27675328677	Chile	USA	2021.17434328677
2021.51236328677	Peru	Chile	2021.29437328677
2021.61921328717	Peru	USA	2021.46224328717
2021.53702328717	USA	Mexico	2021.51784328717
2021.44387328687	Chile	Peru	2021.25640328687
2021.39181328677	USA	Peru	2021.28674328677
