ChildDate	ChildCountry	ParentCountry	ParentDate
2022.99453438226	Costa_Rica	Peru	2022.90834438226
2022.98630438236	USA	Peru	2022.96082438236
2022.97260438246	USA	Peru	2022.97260438236
2022.97534438246	Peru	Other_Asia	2022.97534438236
2022.98630438246	USA	Peru	2022.98630438236
2023.04933438266	Peru	Costa_Rica	2022.92539438266
2023.06576438256	Peru	Costa_Rica	2022.92539438256
2022.95891438296	Peru	Costa_Rica	2022.92539438296
2023.03015438266	USA	Peru	2022.92539438266
2023.05481438276	India	Costa_Rica	2022.92539438276
2023.03836438296	Peru	Costa_Rica	2022.99733438296
2023.04658438296	Peru	Costa_Rica	2022.99733438296
2023.01645438296	Peru	Costa_Rica	2023.01223438296
2023.01645438296	Peru	Costa_Rica	2023.01223438296
2022.99727438296	Peru	Costa_Rica	2022.98883438296
2023.00001438296	Peru	Costa_Rica	2022.98883438296
2022.98905438246	Peru	Costa_Rica	2022.94866438246
2022.97810438246	Peru	Costa_Rica	2022.94866438246
2023.00275438286	Peru	Costa_Rica	2022.98880438286
2023.04933438286	Peru	Costa_Rica	2023.04636438286
2023.05480438286	Peru	Costa_Rica	2023.04636438286
2022.92878438286	Peru	Costa_Rica	2022.92878438276
2023.05755438276	Peru	Costa_Rica	2022.92878438276
2022.97536438286	Peru	Costa_Rica	2022.97536438276
2022.98906438276	Peru	Costa_Rica	2022.97536438276
2023.04659438276	Peru	Costa_Rica	2023.01062438276
2023.24658438276	Peru	Costa_Rica	2023.02992438276
2023.03836438286	Peru	Costa_Rica	2023.02992438286
2023.04658438286	Peru	Costa_Rica	2023.03069438286
2023.04658438286	Peru	Costa_Rica	2023.03069438286
2022.99454438256	Peru	USA	2022.93233438256
2022.93426438266	Peru	Costa_Rica	2022.93426438256
2023.00275438256	Peru	Costa_Rica	2022.97534438256
2023.01097438256	USA	Peru	2022.98079438256
2022.98357438236	USA	Peru	2022.97504438236
2023.20000438266	Costa_Rica	Peru	2022.99705438266
2023.09590438266	USA	Peru	2023.02991438266
2023.03563438286	Ecuador	Peru	2023.01040438286
2023.07124438286	Costa_Rica	Peru	2022.98916438286
2023.01919438296	Other_Asia	Peru	2023.01919438286
2023.02467438286	Other_Asia	Peru	2023.01919438286
2023.00823438316	USA	Peru	2023.00823438306
2023.29863438316	USA	Peru	2022.99592438316
2023.05480438316	Costa_Rica	Peru	2022.99592438316
2023.14521438326	Costa_Rica	Peru	2022.99592438326
2023.09316438336	Costa_Rica	Peru	2023.01309438336
2023.09864438336	Costa_Rica	Peru	2023.03015438336
2023.10412438336	Costa_Rica	Peru	2023.03015438336
2023.02740438346	Costa_Rica	Peru	2023.00935438346
2023.02740438336	Costa_Rica	Peru	2023.00935438336
2023.03288438346	Costa_Rica	Peru	2023.01013438346
2023.07672438346	Costa_Rica	Peru	2023.01013438346
2023.08767438336	Costa_Rica	Peru	2023.01031438336
2023.09315438326	Costa_Rica	Peru	2023.01031438326
2023.14246438336	Costa_Rica	Peru	2023.04624438336
2023.09863438336	Costa_Rica	Peru	2023.04624438336
2023.15343438326	Costa_Rica	Peru	2023.03006438326
2023.20822438326	Panama	Peru	2023.03006438326
2023.12877438326	Costa_Rica	Peru	2022.99715438326
2023.30685438326	USA	Peru	2022.99819438326
2023.09863438326	Costa_Rica	Peru	2023.06782438326
2023.09315438326	Costa_Rica	Peru	2023.06782438326
2023.10685438326	USA	Peru	2023.06782438326
2023.09315438326	USA	Peru	2023.06782438326
2023.16986438326	Costa_Rica	Peru	2023.01105438326
2023.10411438326	Costa_Rica	Peru	2023.04593438326
2023.16712438326	Costa_Rica	Peru	2023.04593438326
2023.24385438426	Other_South_America	Peru	2022.80261438426
2022.98631438416	Spain	Peru	2022.80261438416
2022.94248438386	Other_Asia	Peru	2022.80261438386
2022.80275438366	Other_Europe	Peru	2022.80261438366
2022.84933438406	Canada	Peru	2022.80261438406
2023.05207438476	USA	Peru	2022.80261438476
2023.12604438496	USA	Peru	2022.80261438496
2023.04659438306	Italy	Peru	2022.80261438306
2022.81097438336	India	Peru	2022.80261438336
2023.03563438436	Peru	USA	2022.80261438436
2022.96988438416	France	Peru	2022.89068438416
2022.84111438266	India	Peru	2022.81555438266
2023.11234438356	Mexico	Peru	2022.97352438356
2023.07672438396	USA	Peru	2022.96107438396
2023.16440438356	Other_Asia	Peru	2023.00949438356
2023.36987438366	USA	Peru	2023.24898438366
2023.40275438366	Ecuador	Peru	2023.25046438366
2023.41371438366	USA	Peru	2023.25046438366
2022.85754438436	Other_Asia	Peru	2022.85754438426
2023.03014438426	Other_Asia	Peru	2022.95831438426
2023.04932438426	Other_Asia	Peru	2022.95831438426
2022.98906438316	USA	Peru	2022.98906438306
2022.99454438376	USA	Peru	2022.94186438376
2023.02468438396	USA	Peru	2023.02468438386
2023.43323438386	Chile	Peru	2023.02468438386
2023.00275438276	Chile	Peru	2022.99687438276
2023.07125438286	Ecuador	Peru	2022.99687438286
2023.00823438406	Chile	Peru	2022.98083438406
2022.92878438416	USA	Peru	2022.92878438406
2023.00001438466	Peru	USA	2022.98981438466
2023.04659438466	Peru	USA	2023.03680438466
2023.06851438466	Peru	USA	2023.03680438466
2023.02742438466	Peru	USA	2023.00824438466
2023.00824438476	Peru	USA	2023.00824438466
2023.01645438396	Australia	Peru	2023.01087438396
2022.97536438356	USA	Peru	2022.95839438356
2022.93425438366	Peru	USA	2022.93232438366
2023.00823438366	Canada	Peru	2022.99716438366
2023.17536438476	USA	Peru	2022.86577438476
2023.11782438466	USA	Peru	2022.86577438466
2022.86577438486	France	Peru	2022.86577438476
2023.08494438466	Mexico	Peru	2023.01009438466
2023.29042438466	USA	Peru	2023.24923438466
2023.30412438466	USA	Peru	2023.24923438466
2023.09590438476	Mexico	Peru	2022.97279438476
2023.17260438486	USA	Peru	2023.01053438486
2023.13700438446	Chile	Peru	2023.03279438446
2023.08768438446	Chile	Peru	2023.03279438446
2022.98905438446	Peru	USA	2022.95709438446
2022.95891438456	Peru	USA	2022.95891438446
2023.00001438436	Peru	USA	2022.93875438436
2023.03563438366	Chile	Peru	2022.98069438366
2023.04110438336	Chile	Peru	2023.03688438336
2023.16988438366	Chile	Peru	2022.98896438366
2022.98906438356	Chile	Peru	2022.98896438356
2023.04385438366	Chile	Peru	2022.98896438366
2023.10686438376	Chile	Peru	2022.99572438376
2023.01919438406	Chile	Peru	2023.01124438406
2023.08494438426	Chile	Peru	2023.03005438426
2022.84385438366	Other_Europe	Peru	2022.80318438366
2022.85481438356	France	Peru	2022.83209438356
2022.84933438346	India	Peru	2022.80811438346
2022.84660438386	India	Peru	2022.80811438386
2022.94523438386	Netherlands	Peru	2022.80811438386
2022.84660438366	India	Peru	2022.80811438366
2022.89865438386	India	Peru	2022.83292438386
2022.91235438396	USA	Peru	2022.91235438386
2023.00703438386	USA	Peru	2022.91235438386
2022.99180438406	USA	Peru	2022.82467438406
2022.83837438406	India	Peru	2022.82467438406
2022.91235438396	USA	Peru	2022.90164438396
2022.94249438396	USA	Peru	2022.90164438396
2023.04419438386	India	Peru	2022.88793438386
2022.91318438396	India	Peru	2022.91318438386
2022.98247438386	India	Peru	2022.93434438386
2023.03417438386	India	Peru	2022.93434438386
2023.02468438356	Other_Oceania	Peru	2022.95889438356
2023.06303438366	Other_Asia	Peru	2022.95889438366
2022.97810438376	England	Peru	2022.95889438376
2023.01372438376	USA	Peru	2022.96514438376
2022.96714438386	Australia	Peru	2022.96714438376
2022.99727438376	USA	Peru	2022.99628438376
2023.02193438376	USA	Peru	2023.00926438376
2023.01097438376	USA	Peru	2023.00926438376
2022.95344438396	Peru	Brazil	2022.95285438396
2022.93974438396	Peru	Brazil	2022.93589438396
2023.09316438366	Ecuador	Peru	2022.94350438366
2023.12605438366	Spain	Peru	2023.01053438366
2023.12604438456	Germany	Peru	2022.94108438456
2023.10412438476	USA	Peru	2022.97730438476
2023.10960438476	Chile	Peru	2023.01178438476
2023.07398438476	USA	Peru	2023.01178438476
2023.08494438516	Germany	Peru	2022.95942438516
2023.53426438456	Ecuador	Peru	2023.01059438456
2023.12604438456	Ecuador	Peru	2023.01059438456
2022.99727438456	Peru	Chile	2022.92863438456
2023.12056438456	USA	Peru	2023.00998438456
2023.29864438456	Chile	Peru	2023.00998438456
2023.09316438456	Chile	Peru	2023.01081438456
2023.01918438476	USA	Peru	2022.99588438476
2023.10137438496	USA	Peru	2022.99588438496
2023.13425438496	Chile	Peru	2022.99588438496
2023.17506438486	USA	Peru	2023.06514438486
2023.31824438486	Panama	Peru	2023.06514438486
2022.92056438546	Peru	USA	2022.89042438546
2022.99179438456	Peru	USA	2022.89042438456
2022.89042438476	Peru	USA	2022.89042438466
2023.07398438546	Peru	USA	2022.89042438546
2022.97809438496	Peru	USA	2022.89042438496
2023.09315438496	Bolivia	USA	2023.01741438496
2023.09315438496	Bolivia	Ecuador	2023.06834438496
2023.09315438496	Bolivia	Ecuador	2023.06834438496
2023.13974438496	Chile	Peru	2022.98736438496
2023.06850438476	Ecuador	Peru	2023.00985438476
2023.06850438476	Canada	Peru	2023.06556438476
2023.06850438476	Canada	Peru	2023.06556438476
2022.99179438416	USA	Peru	2022.99179438406
2023.09316438476	Peru	Ecuador	2023.03031438476
2023.09316438486	Peru	Ecuador	2023.03031438486
2023.09316438486	Peru	Ecuador	2023.03031438486
2023.09316438466	Peru	USA	2023.02982438466
2023.06850438466	Peru	USA	2023.02982438466
2023.00822438496	Peru	Other_Asia	2022.99452438496
2022.99452438506	Peru	Other_Asia	2022.99452438496
2023.12329438476	Australia	Peru	2023.05283438476
2023.03289438366	USA	Peru	2023.01178438366
2023.15344438456	Chile	Peru	2022.91218438456
2023.02193438396	USA	Peru	2022.91218438396
2023.12878438556	Peru	Bolivia	2022.91218438556
